Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
16025,Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005.0,Nov,24.0,undefined,Success  ,Success  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/4687/nihon-pro-mahjong-kishikai-kanshuu-pro-ni-naru-mahjong-ds/?region=All,Misc,Misc
16026,National Geographic Panda (US sales),DS,2008.0,Nov,11.0,undefined,Namco Bandai  ,Namco Bandai Games  ,,,0.04,0.0,,,0.04,https://www.vgchartz.com/game/26004/national-geographic-panda-us-sales/?region=All,Simulation,Simulation
16027,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,3DS,2014.0,Nov,20.0,undefined,Happinet  ,Happinet  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/84899/dolly-kanon-dokidoki-tokimeki-himitsu-no-ongaku-katsudou-start-desu/?region=All,Adventure,Adventure
16028,BlazBlue: Chrono Phantasma Extend,PS3,2015.0,Jun,30.0,undefined,Arc System Works  ,Arc System Works  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/85431/blazblue-chrono-phantasma-extend/?region=All,Action,Action
16029,Beyblade Burst: God,3DS,2017.0,Nov,23.0,undefined,FuRyu Corporation  ,FuRyu  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/220172/beyblade-burst-god/?region=All,undefined,Role-Playing
16030,Millipede / Super Breakout / Lunar Lander,GBA,2005.0,Aug,15.0,undefined,DSI Games  ,Gravity-I  ,,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/27488/millipede-super-breakout-lunar-lander/?region=All,Misc,Misc
16031,Disney's Donald Duck: Goin' Quackers,GC,2002.0,Mar,25.0,undefined,Ubisoft  ,Ubisoft Montreal  ,,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/550/disneys-donald-duck-goin-quackers/?region=All,Platform,Platform
16032,World Trigger: Borderless Mission,PSV,2015.0,Sep,17.0,undefined,Namco Bandai Games  ,ArtDink  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/85933/world-trigger-borderless-mission/?region=All,Action,Action
16033,Assault Rigs,PS,1996.0,Feb,1.0,undefined,Psygnosis  ,Psygnosis  ,,,0.02,0.02,,0.0,0.04,https://www.vgchartz.com/game/36081/assault-rigs/?region=All,Action,Action
16034,Wolfenstein,PC,2009.0,Aug,18.0,undefined,Activision  ,Raven Software  ,6.5,8.0,0.01,0.03,,0.01,0.04,https://www.vgchartz.com/game/34956/wolfenstein/?region=All,Shooter,Shooter
