Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
9079,Saturday Night Speedway,PS2,2004.0,Mar,11.0,undefined,Atari  ,Ratbag  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/43797/saturday-night-speedway/?region=All,Racing
9080,CSI: Deadly Intent,X360,2009.0,Oct,27.0,undefined,Ubisoft  ,Telltale Games  ,,,0.1,0.08,,0.02,0.2,https://www.vgchartz.com/game/38300/csi-deadly-intent/?region=All,Adventure
9081,Bratz: Rock Angelz,GC,2005.0,Oct,5.0,undefined,THQ  ,Blitz Games  ,,,0.16,0.04,,0.01,0.2,https://www.vgchartz.com/game/252/bratz-rock-angelz/?region=All,Misc
9082,Langrisser III,SAT,1996.0,Oct,18.0,undefined,NCS  ,NCS  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/3636/langrisser-iii/?region=All,Strategy
9083,MLB SlugFest 20-03,XB,2002.0,Aug,26.0,undefined,Midway Games  ,Gratuitous Games  ,,,0.15,0.04,,0.01,0.2,https://www.vgchartz.com/game/1384/mlb-slugfest-20-03/?region=All,Sports
9084,Samurai Spirits (CD),NG,1994.0,Sep,9.0,undefined,SNK  ,SNK Corporation  ,,,,,0.2,0.0,0.2,https://www.vgchartz.com/game/4233/samurai-spirits-cd/?region=All,Fighting
9085,Earth Defense Force 4.1: The Shadow of New Despair,PC,2016.0,Jul,18.0,undefined,D3Publisher  ,Sandlot  ,,,,,,,,https://www.vgchartz.com/game/122999/earth-defense-force-41-the-shadow-of-new-despair/?region=All,Shooter
9086,Eagle Flight,PS4,2016.0,Nov,8.0,undefined,Ubisoft  ,Ubisoft  ,,,0.09,0.08,,0.03,0.2,https://www.vgchartz.com/game/141903/eagle-flight/?region=All,undefined
9087,Dwarfs!?,PC,2011.0,May,4.0,undefined,Tripwire Interactive  ,Power of 2  ,,,,,,,,https://www.vgchartz.com/game/51137/dwarfs/?region=All,undefined
9088,Pitfall: The Lost Expedition,PS2,2004.0,Feb,18.0,undefined,Activision  ,Edge of Reality  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/5584/pitfall-the-lost-expedition/?region=All,Platform
9089,Deal or No Deal: The Banker is Back!,DS,2008.0,Nov,14.0,undefined,Mindscape  ,Mindscape  ,,,,0.2,,0.0,0.2,https://www.vgchartz.com/game/29006/deal-or-no-deal-the-banker-is-back/?region=All,Misc
9090,From TV Animation One Piece: Grand Battle! 3,GC,2003.0,Dec,11.0,undefined,Bandai  ,Ganbarion  ,,,,,0.2,0.01,0.2,https://www.vgchartz.com/game/3357/from-tv-animation-one-piece-grand-battle-3/?region=All,Fighting
