Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
349,The Binding of Isaac,PC,2011,Sep,28,undefined,Edmund McMillen  ,Edmund McMillen  ,8.3,,,0.0,,0.0,0.0
350,Crash Bandicoot 3: Warped,PS,1998,Oct,31,undefined,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
351,Pokémon Emerald Version,GBA,2005,Apr,30,undefined,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41
352,Fall Guys: Ultimate Knockout,PC,2020,Aug,04,undefined,Devolver Digital  ,Mediatonic  ,,,,,,,
353,Guild Wars 2,PC,2012,Aug,28,undefined,NCSoft  ,ArenaNet  ,,,1.01,1.11,,0.25,2.37
354,Oddworld,Series,1997,Sep,19,undefined,GT Interactive  ,Oddworld Inhabitants|Digital Dialect|Saffire Corporation|Just Add Water|Frima Studio|Square One Games  ,,,,,,,
355,Project Gotham Racing,Series,2001,Jan,15,undefined,Sega  ,Bizarre Creations|Glu Mobile|Pixelbite  ,,,,,,,
356,Rugrats,Series,1999,Jun,29,undefined,THQ  ,Realtime Associates|n-Space|Tiertex Design Studios|Art Co.|Software Creations|Avalanche Software|KnowWonder|THQ|Eurocom Entertainment Software  ,,,,,,,
357,Samurai Warriors,Series,2004,May,06,undefined,KOEI  ,Omega Force  ,,,,,,,
358,Need for Speed Underground 2,PS2,2004,Nov,15,undefined,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
359,Just Dance 4,Wii,2012,Oct,09,undefined,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89
360,Mario Kart: Double Dash!!,GC,2003,Nov,17,undefined,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
361,Xeno,Series,1998,Oct,20,undefined,Square  ,Square|Monolith Soft  ,,,,,,,
362,Medal of Honor: Frontline,PS2,2002,May,28,undefined,Electronic Arts  ,EA Los Angeles  ,9.0,,2.93,2.75,0.17,0.99,6.83
363,Crash Bandicoot,PS,1996,Sep,01,undefined,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82
364,Uncharted 2: Among Thieves,PS3,2009,Oct,13,undefined,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
365,Call of Duty 4: Modern Warfare,PS3,2007,Nov,05,undefined,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
366,Star Wars: Knights of the Old Republic,Series,2003,Jul,15,undefined,LucasArts  ,BioWare|Obsidian Entertainment  ,,,,,,,
367,Dead Space,Series,N/A,N/A,N/A,undefined,Unknown  ,EA Redwood Shores|Visceral Games|Eurocom|Sumo Digital|IronMonkey Studios  ,,,,,,,
368,FIFA Soccer 12,PS3,2011,Sep,27,undefined,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
369,FIFA 14,PS3,2013,Sep,24,undefined,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61
370,Fallout 4,PC,2015,Nov,10,undefined,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,0.57,0.72,,0.11,1.4
371,Tomodachi Life,3DS,2014,Jun,06,undefined,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
372,Red Dead Redemption,PS3,2011,Oct,11,undefined,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57
373,Donkey Kong Country Returns,Wii,2010,Nov,21,undefined,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5
374,The Legend of Zelda,NES,1987,Aug,22,undefined,Nintendo  ,Nintendo EAD  ,,,3.74,0.93,1.69,0.14,6.51
375,Assassin's Creed III,PS3,2012,Oct,30,undefined,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
376,Guild Wars,PC,2005,Apr,26,undefined,NCSoft  ,ArenaNet  ,8.7,,0.03,0.0,,0.0,0.04
377,Red Dead Redemption,X360,2010,May,18,undefined,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
378,The Elder Scrolls V: Skyrim,PS3,2011,Nov,11,undefined,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49
379,Diddy Kong Racing,Series,1997,Nov,24,undefined,Nintendo  ,Rare Ltd.  ,,,,,,,
380,Final Fantasy XII,PS2,2006,Oct,31,undefined,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95
381,Pokémon Crystal Version,GBC,2001,Jul,29,undefined,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39
382,Halo 3: ODST,X360,2009,Sep,22,undefined,Microsoft Game Studios  ,Bungie  ,8.7,,4.34,1.34,0.06,0.61,6.35
383,Minecraft,PS4,2014,Oct,07,undefined,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
384,Luigi's Mansion 3,NS,2019,Oct,31,undefined,Nintendo  ,"Next Level Games, Inc.  ",,,,,,,
385,Luigi's Mansion: Dark Moon,3DS,2013,Mar,24,undefined,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
386,FIFA 15,PS4,2014,Sep,23,undefined,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32
387,Kingdom Hearts,PS2,2002,Sep,16,undefined,Square EA  ,SquareSoft  ,8.5,,3.64,1.2,1.49,0.07,6.4
388,Myst,PC,1995,Jan,01,undefined,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81
389,Street Fighter II: The World Warrior,SNES,1992,Jul,01,undefined,Capcom  ,Capcom  ,,,2.47,0.83,2.87,0.12,6.3
